region,BasinID,old_OasisID,new_OasisID
亚洲西南部,04,ASIR04014,ASIR04013
亚洲西南部,04,ASIR04015,ASIR04014
亚洲西南部,04,ASIR04016,ASIR04015
亚洲西南部,04,ASIR04017,ASIR04016
阿拉伯半岛,04,ASSA04018,ASSA04017
阿拉伯半岛,04,ASSA04019,ASSA04018
亚洲西南部,04,ASIR04020,ASIR04019
亚洲西南部,04,ASIR04021,ASIR04020
亚洲西南部,04,ASIR04022,ASIR04021
亚洲西南部,04,ASIR04023,ASIR04022
亚洲西南部,04,ASIR04024,ASIR04023
亚洲西南部,04,ASIR04025,ASIR04024
亚洲西南部,04,ASIR04026,ASIR04025
亚洲西南部,08,ASIR08005,ASIR08004
亚洲西南部,08,ASIR08006,ASIR08005
亚洲西南部,08,ASIR08007,ASIR08006
亚洲西南部,08,ASIR08008,ASIR08007
亚洲西南部,08,ASIR08009,ASIR08008
亚洲西南部,08,ASIR08010,ASIR08009
亚洲西南部,08,ASIR08011,ASIR08010
亚洲西南部,08,ASIR08012,ASIR08011
亚洲西南部,08,ASIR08013,ASIR08012
亚洲西南部,08,AS2G08014,AS2G08013
亚洲西南部,08,ASIR08015,ASIR08014
亚洲西南部,08,ASIR08016,ASIR08015
亚洲西南部,08,ASIR08017,ASIR08016
亚洲西南部,08,AS2G08018,AS2G08017
亚洲西南部,08,ASIR08019,ASIR08018
亚洲西南部,08,ASIR08021,ASIR08019
亚洲西南部,08,ASIR08022,ASIR08020
亚洲西南部,08,ASIR08023,ASIR08021
亚洲西南部,08,ASIR08024,ASIR08022
亚洲西南部,08,ASAZ08025,ASAZ08023
亚洲西南部,08,ASIR08026,ASIR08024
亚洲西南部,08,ASAZ08027,ASAZ08025
亚洲西南部,08,ASIR08028,ASIR08026
亚洲西南部,08,ASIR08030,ASIR08027
亚洲西南部,08,ASAZ08031,ASAZ08028
亚洲西南部,08,ASIR08032,ASIR08029
亚洲西南部,08,ASIR08033,ASIR08030
亚洲西南部,08,ASIR08034,ASIR08031
亚洲西南部,08,ASIR08035,ASIR08032
亚洲西南部,08,ASIR08037,ASIR08033
亚洲西南部,08,ASIR08038,ASIR08034
亚洲中部,10,ASKG10033,ASKG10032
亚洲中部,10,ASKG10034,ASKG10033
亚洲西南部,10,ASAF10035,ASAF10034
亚洲中部,10,ASKG10036,ASKG10035
亚洲西南部,10,ASAF10037,ASAF10036
亚洲中部,10,ASKG10038,ASKG10037
亚洲中部,10,ASTJ10039,ASTJ10038
亚洲中部,10,ASKG10040,ASKG10039
亚洲中部,10,ASTJ10041,ASTJ10040
亚洲中部,10,ASKZ10042,ASKZ10041
亚洲中部,10,ASTM10043,ASTM10042
亚洲中部,10,ASUZ10044,ASUZ10043
亚洲中部,10,ASKZ10045,ASKZ10044
亚洲中部,10,ASTJ10046,ASTJ10045
亚洲中部,10,ASUZ10047,ASUZ10046
亚洲中部,10,ASKG10048,ASKG10047
亚洲中部,10,ASTJ10049,ASTJ10048
亚洲中部,10,ASTJ10050,ASTJ10049
亚洲中部,10,ASTJ10051,ASTJ10050
亚洲中部,10,ASTM10052,ASTM10051
亚洲中部,10,ASTJ10053,ASTJ10052
亚洲中部,10,ASTM10054,ASTM10053
亚洲中部,10,ASKZ10055,ASKZ10054
亚洲中部,10,ASKG10056,ASKG10055
亚洲中部,10,ASUZ10057,ASUZ10056
亚洲中部,10,ASKG10058,ASKG10057
亚洲中部,10,ASKG10059,ASKG10058
亚洲中部,10,ASKG10060,ASKG10059
亚洲中部,10,ASTJ10061,ASTJ10060
亚洲西南部,10,ASAF10062,ASAF10061
亚洲中部,10,ASKG10063,ASKG10062
亚洲中部,10,ASKG10064,ASKG10063
亚洲西南部,10,ASAF10065,ASAF10064
亚洲西南部,10,ASAF10066,ASAF10065
亚洲中部,10,ASKG10067,ASKG10066
亚洲中部,10,ASKZ10068,ASKZ10067
亚洲中部,10,ASKG10069,ASKG10068
亚洲中部,10,ASKZ10070,ASKZ10069
亚洲中部,10,ASTM10071,ASTM10070
亚洲西南部,10,ASIR10072,ASIR10071
亚洲中部,10,ASKG10073,ASKG10072
亚洲中部,10,ASUZ10074,ASUZ10073
亚洲中部,10,ASKZ10075,ASKZ10074
亚洲中部,10,ASKZ10076,ASKZ10075
亚洲中部,10,ASKG10077,ASKG10076
亚洲中部,10,ASTM10078,ASTM10077
亚洲中部,10,ASTM10079,ASTM10078
亚洲中部,10,ASKZ10080,ASKZ10079
亚洲西南部,10,ASIR10081,ASIR10080
亚洲中部,10,ASTM10082,ASTM10081
亚洲中部,10,ASTM10083,ASTM10082
亚洲中部,10,ASTJ10084,ASTJ10083
亚洲中部,10,ASTM10085,ASTM10084
亚洲西南部,10,ASIR10086,ASIR10085
亚洲中部,10,ASKG10087,ASKG10086
亚洲中部,10,ASUZ10088,ASUZ10087
亚洲西南部,10,ASAF10089,ASAF10088
亚洲中部,10,ASTM10090,ASTM10089
亚洲中部,10,ASKZ10091,ASKZ10090
亚洲中部,10,ASTJ10092,ASTJ10091
亚洲中部,10,ASTM10093,ASTM10092
亚洲中部,10,ASTM10094,ASTM10093
亚洲中部,10,ASTM10095,ASTM10094
亚洲中部,10,ASTJ10096,ASTJ10095
亚洲中部,10,ASKG10097,ASKG10096
亚洲中部,10,ASTM10098,ASTM10097
亚洲中部,10,ASKZ10099,ASKZ10098
亚洲西南部,10,ASAF10100,ASAF10099
亚洲中部,10,ASTM10101,ASTM10100
亚洲西南部,10,ASAF10102,ASAF10101
亚洲西南部,10,ASAF10103,ASAF10102
亚洲中部,10,ASUZ10104,ASUZ10103
亚洲中部,10,ASKG10105,ASKG10104
